County,Office,Candidate,Party,County Total,State Total
Claiborne,United States-President,Presidential Electors for Brian Carroll for President and Amar Patel for Vice President,American Solidarity,10,1161
Clarke,United States-President,Presidential Electors for Brian Carroll for President and Amar Patel for Vice President,American Solidarity,5,1161
Clay,United States-President,Presidential Electors for Brian Carroll for President and Amar Patel for Vice President,American Solidarity,17,1161
Coahoma,United States-President,Presidential Electors for Brian Carroll for President and Amar Patel for Vice President,American Solidarity,14,1161
Copiah,United States-President,Presidential Electors for Brian Carroll for President and Amar Patel for Vice President,American Solidarity,15,1161
Covington,United States-President,Presidential Electors for Brian Carroll for President and Amar Patel for Vice President,American Solidarity,5,1161
DeSoto,United States-President,Presidential Electors for Brian Carroll for President and Amar Patel for Vice President,American Solidarity,80,1161
Forrest,United States-President,Presidential Electors for Brian Carroll for President and Amar Patel for Vice President,American Solidarity,33,1161
Franklin,United States-President,Presidential Electors for Brian Carroll for President and Amar Patel for Vice President,American Solidarity,6,1161
George,United States-President,Presidential Electors for Brian Carroll for President and Amar Patel for Vice President,American Solidarity,6,1161
Greene,United States-President,Presidential Electors for Brian Carroll for President and Amar Patel for Vice President,American Solidarity,2,1161
Grenada,United States-President,Presidential Electors for Brian Carroll for President and Amar Patel for Vice President,American Solidarity,9,1161
Hancock,United States-President,Presidential Electors for Brian Carroll for President and Amar Patel for Vice President,American Solidarity,20,1161
Harrison,United States-President,Presidential Electors for Brian Carroll for President and Amar Patel for Vice President,American Solidarity,40,1161
Hinds,United States-President,Presidential Electors for Brian Carroll for President and Amar Patel for Vice President,American Solidarity,116,1161
Holmes,United States-President,Presidential Electors for Brian Carroll for President and Amar Patel for Vice President,American Solidarity,26,1161
Humphreys,United States-President,Presidential Electors for Brian Carroll for President and Amar Patel for Vice President,American Solidarity,7,1161
Issaquena,United States-President,Presidential Electors for Brian Carroll for President and Amar Patel for Vice President,American Solidarity,1,1161
Itawamba,United States-President,Presidential Electors for Brian Carroll for President and Amar Patel for Vice President,American Solidarity,2,1161
Jackson,United States-President,Presidential Electors for Brian Carroll for President and Amar Patel for Vice President,American Solidarity,49,1161
Jasper,United States-President,Presidential Electors for Brian Carroll for President and Amar Patel for Vice President,American Solidarity,7,1161
Jeff Davis,United States-President,Presidential Electors for Brian Carroll for President and Amar Patel for Vice President,American Solidarity,6,1161
Jefferson,United States-President,Presidential Electors for Brian Carroll for President and Amar Patel for Vice President,American Solidarity,4,1161
Jones,United States-President,Presidential Electors for Brian Carroll for President and Amar Patel for Vice President,American Solidarity,21,1161
Kemper,United States-President,Presidential Electors for Brian Carroll for President and Amar Patel for Vice President,American Solidarity,6,1161
Lafayette,United States-President,Presidential Electors for Brian Carroll for President and Amar Patel for Vice President,American Solidarity,29,1161
Lamar,United States-President,Presidential Electors for Brian Carroll for President and Amar Patel for Vice President,American Solidarity,29,1161
Lauderdale,United States-President,Presidential Electors for Brian Carroll for President and Amar Patel for Vice President,American Solidarity,16,1161
Lawrence,United States-President,Presidential Electors for Brian Carroll for President and Amar Patel for Vice President,American Solidarity,5,1161
Leake,United States-President,Presidential Electors for Brian Carroll for President and Amar Patel for Vice President,American Solidarity,4,1161
Lee,United States-President,Presidential Electors for Brian Carroll for President and Amar Patel for Vice President,American Solidarity,32,1161
Leflore,United States-President,Presidential Electors for Brian Carroll for President and Amar Patel for Vice President,American Solidarity,9,1161
Lincoln,United States-President,Presidential Electors for Brian Carroll for President and Amar Patel for Vice President,American Solidarity,15,1161
Lowndes,United States-President,Presidential Electors for Brian Carroll for President and Amar Patel for Vice President,American Solidarity,19,1161
Madison,United States-President,Presidential Electors for Brian Carroll for President and Amar Patel for Vice President,American Solidarity,45,1161
Marion,United States-President,Presidential Electors for Brian Carroll for President and Amar Patel for Vice President,American Solidarity,5,1161
Marshall,United States-President,Presidential Electors for Brian Carroll for President and Amar Patel for Vice President,American Solidarity,11,1161
Monroe,United States-President,Presidential Electors for Brian Carroll for President and Amar Patel for Vice President,American Solidarity,13,1161
Montgomery,United States-President,Presidential Electors for Brian Carroll for President and Amar Patel for Vice President,American Solidarity,4,1161
Neshoba,United States-President,Presidential Electors for Brian Carroll for President and Amar Patel for Vice President,American Solidarity,8,1161
Newton,United States-President,Presidential Electors for Brian Carroll for President and Amar Patel for Vice President,American Solidarity,6,1161
